evaluation,id
0.0,FD002_1_0
0.0,FD002_2_0
0.0,FD002_3_0
0.0,FD002_4_0
0.0,FD002_5_0
0.0,FD002_6_0
0.0,FD002_7_0
0.0,FD002_8_0
0.0,FD002_9_0
0.0,FD002_10_0
0.0,FD002_11_0
0.0,FD002_12_0
0.0,FD002_13_0
0.0,FD002_14_0
0.0,FD002_15_0
0.0,FD002_16_0
0.0,FD002_17_0
0.0,FD002_18_0
0.0,FD002_19_0
0.0,FD002_20_0
0.0,FD002_21_0
0.0,FD002_22_0
0.0,FD002_23_0
0.0,FD002_24_0
0.0,FD002_25_0
0.0,FD002_26_0
0.0,FD002_27_0
0.0,FD002_28_0
0.0,FD002_29_0
0.0,FD002_30_0
0.0,FD002_31_0
0.0,FD002_32_0
0.0,FD002_33_0
0.0,FD002_34_0
0.0,FD002_35_0
0.0,FD002_36_0
0.0,FD002_37_0
0.0,FD002_38_0
0.0,FD002_39_0
0.0,FD002_40_0
0.0,FD002_41_0
0.0,FD002_42_0
0.0,FD002_43_0
0.0,FD002_44_0
0.0,FD002_45_0
0.0,FD002_46_0
0.0,FD002_47_0
0.0,FD002_48_0
0.0,FD002_49_0
0.0,FD002_50_0
0.0,FD002_51_0
0.0,FD002_52_0
0.0,FD002_53_0
0.0,FD002_54_0
0.0,FD002_55_0
0.0,FD002_56_0
0.0,FD002_57_0
0.0,FD002_58_0
0.0,FD002_59_0
0.0,FD002_60_0
0.0,FD002_61_0
0.0,FD002_62_0
0.0,FD002_63_0
0.0,FD002_64_0
0.0,FD002_65_0
0.0,FD002_66_0
0.0,FD002_67_0
0.0,FD002_68_0
0.0,FD002_69_0
0.0,FD002_70_0
0.0,FD002_71_0
0.0,FD002_72_0
0.0,FD002_73_0
0.0,FD002_74_0
0.0,FD002_75_0
0.0,FD002_76_0
0.0,FD002_77_0
0.0,FD002_78_0
0.0,FD002_79_0
0.0,FD002_80_0
0.0,FD002_81_0
0.0,FD002_82_0
0.0,FD002_83_0
0.0,FD002_84_0
0.0,FD002_85_0
0.0,FD002_86_0
0.0,FD002_87_0
0.0,FD002_88_0
0.0,FD002_89_0
0.0,FD002_90_0
0.0,FD002_91_0
0.0,FD002_92_0
0.0,FD002_93_0
0.0,FD002_94_0
0.0,FD002_95_0
0.0,FD002_96_0
0.0,FD002_97_0
0.0,FD002_98_0
0.0,FD002_99_0
0.0,FD002_100_0
0.0,FD002_101_0
0.0,FD002_102_0
0.0,FD002_103_0
0.0,FD002_104_0
0.0,FD002_105_0
0.0,FD002_106_0
0.0,FD002_107_0
0.0,FD002_108_0
0.0,FD002_109_0
0.0,FD002_110_0
0.0,FD002_111_0
0.0,FD002_112_0
0.0,FD002_113_0
0.0,FD002_114_0
0.0,FD002_115_0
0.0,FD002_116_0
0.0,FD002_117_0
0.0,FD002_118_0
0.0,FD002_119_0
0.0,FD002_120_0
0.0,FD002_121_0
0.0,FD002_122_0
0.0,FD002_123_0
0.0,FD002_124_0
