evaluation,id
0.15384615384615385,FD001_1_0
0.10561056105610561,FD001_2_0
0.16410256410256413,FD001_3_0
0.15609756097560976,FD001_4_0
0.11228070175438597,FD001_5_0
0.1568627450980392,FD001_6_0
0.11636363636363635,FD001_7_0
0.1927710843373494,FD001_8_0
0.14746543778801843,FD001_9_0
0.13445378151260504,FD001_10_0
0.125,FD001_11_0
0.17204301075268816,FD001_12_0
0.17877094972067037,FD001_13_0
0.163265306122449,FD001_14_0
0.14349775784753363,FD001_15_0
0.14222222222222222,FD001_16_0
0.1095890410958904,FD001_17_0
0.15165876777251186,FD001_18_0
0.18390804597701146,FD001_19_0
0.128,FD001_20_0
0.15165876777251186,FD001_21_0
0.14678899082568805,FD001_22_0
0.17391304347826084,FD001_23_0
0.19631901840490798,FD001_24_0
0.13008130081300812,FD001_25_0
0.1488372093023256,FD001_26_0
0.18604651162790695,FD001_27_0
0.17679558011049726,FD001_28_0
0.17877094972067037,FD001_29_0
0.1523809523809524,FD001_30_0
0.128,FD001_31_0
0.15458937198067632,FD001_32_0
0.14814814814814814,FD001_33_0
0.15165876777251186,FD001_34_0
0.16243654822335024,FD001_35_0
0.18390804597701146,FD001_36_0
0.17204301075268816,FD001_37_0
0.1523809523809524,FD001_38_0
0.2222222222222222,FD001_39_0
0.1568627450980392,FD001_40_0
0.13793103448275862,FD001_41_0
0.15094339622641506,FD001_42_0
0.14349775784753363,FD001_43_0
0.15384615384615385,FD001_44_0
0.18390804597701146,FD001_45_0
0.11764705882352941,FD001_46_0
0.1391304347826087,FD001_47_0
0.12955465587044535,FD001_48_0
0.13852813852813853,FD001_49_0
0.14953271028037382,FD001_50_0
0.13973799126637554,FD001_51_0
0.13973799126637554,FD001_52_0
0.15165876777251186,FD001_53_0
0.11721611721611722,FD001_54_0
0.15311004784688995,FD001_55_0
0.10996563573883163,FD001_56_0
0.2091503267973856,FD001_57_0
0.19631901840490798,FD001_58_0
0.12955465587044535,FD001_59_0
0.1702127659574468,FD001_60_0
0.15920398009950248,FD001_61_0
0.163265306122449,FD001_62_0
0.16842105263157897,FD001_63_0
0.10702341137123746,FD001_64_0
0.1893491124260355,FD001_65_0
0.14678899082568805,FD001_66_0
0.0972644376899696,FD001_67_0
0.1488372093023256,FD001_68_0
0.08465608465608467,FD001_69_0
0.2091503267973856,FD001_70_0
0.14285714285714288,FD001_71_0
0.13973799126637554,FD001_72_0
0.13973799126637554,FD001_73_0
0.1758241758241758,FD001_74_0
0.1306122448979592,FD001_75_0
0.14159292035398233,FD001_76_0
0.18823529411764706,FD001_77_0
0.12955465587044535,FD001_78_0
0.1488372093023256,FD001_79_0
0.15920398009950248,FD001_80_0
0.125,FD001_81_0
0.1391304347826087,FD001_82_0
0.10355987055016182,FD001_83_0
0.11307420494699648,FD001_84_0
0.1568627450980392,FD001_85_0
0.10884353741496598,FD001_86_0
0.16494845360824742,FD001_87_0
0.13973799126637554,FD001_88_0
0.13733905579399142,FD001_89_0
0.18823529411764706,FD001_90_0
0.21192052980132453,FD001_91_0
0.0896358543417367,FD001_92_0
0.1871345029239766,FD001_93_0
0.1167883211678832,FD001_94_0
0.10702341137123746,FD001_95_0
0.0909090909090909,FD001_96_0
0.14678899082568805,FD001_97_0
0.18604651162790695,FD001_98_0
0.15920398009950248,FD001_99_0
0.14814814814814814,FD001_100_0
