evaluation,failure_prevented,n_maintenance_activities,id
70.2045,True,30,FD001_1_0
56.6746,True,54,FD001_2_0
72.4372,True,27,FD001_3_0
69.8952,True,30,FD001_4_0
58.5904,True,50,FD001_5_0
70.9333,True,29,FD001_6_0
60.1145,True,47,FD001_7_0
77.9914,True,20,FD001_8_0
67.7842,True,33,FD001_9_0
64.8723,True,38,FD001_10_0
62.8388,True,42,FD001_11_0
73.7217,True,25,FD001_12_0
75.3722,True,23,FD001_13_0
72.4372,True,27,FD001_14_0
67.4331,True,34,FD001_15_0
66.7742,True,35,FD001_16_0
58.0994,True,51,FD001_17_0
69.4905,True,31,FD001_18_0
76.2255,True,22,FD001_19_0
63.0758,True,41,FD001_20_0
69.4905,True,31,FD001_21_0
68.1053,True,33,FD001_22_0
74.8166,True,24,FD001_23_0
78.9054,True,19,FD001_24_0
63.6635,True,40,FD001_25_0
68.7909,True,32,FD001_26_0
77.0984,True,21,FD001_27_0
74.5378,True,24,FD001_28_0
75.3722,True,23,FD001_29_0
69.4905,True,31,FD001_30_0
63.0758,True,41,FD001_31_0
70.2045,True,30,FD001_32_0
68.7909,True,32,FD001_33_0
69.4905,True,31,FD001_34_0
71.3771,True,28,FD001_35_0
76.2255,True,22,FD001_36_0
73.7217,True,25,FD001_37_0
69.4905,True,31,FD001_38_0
83.8168,True,14,FD001_39_0
70.9333,True,29,FD001_40_0
66.1279,True,36,FD001_41_0
69.4905,True,31,FD001_42_0
67.4331,True,34,FD001_43_0
70.2045,True,30,FD001_44_0
76.2255,True,22,FD001_45_0
60.6403,True,46,FD001_46_0
66.1279,True,36,FD001_47_0
63.6635,True,40,FD001_48_0
66.1279,True,36,FD001_49_0
68.7909,True,32,FD001_50_0
66.1279,True,36,FD001_51_0
66.1279,True,36,FD001_52_0
69.4905,True,31,FD001_53_0
59.7656,True,47,FD001_54_0
69.177,True,31,FD001_55_0
58.0994,True,51,FD001_56_0
80.566,True,17,FD001_57_0
78.9054,True,19,FD001_58_0
63.6635,True,40,FD001_59_0
74.0063,True,25,FD001_60_0
70.6283,True,29,FD001_61_0
72.4372,True,27,FD001_62_0
72.9232,True,26,FD001_63_0
57.1417,True,53,FD001_64_0
77.0984,True,21,FD001_65_0
68.1053,True,33,FD001_66_0
53.6071,True,61,FD001_67_0
68.7909,True,32,FD001_68_0
49.4133,True,73,FD001_69_0
80.566,True,17,FD001_70_0
67.4331,True,34,FD001_71_0
66.1279,True,36,FD001_72_0
66.1279,True,36,FD001_73_0
74.5378,True,24,FD001_74_0
63.6635,True,40,FD001_75_0
66.7742,True,35,FD001_76_0
77.0984,True,21,FD001_77_0
63.6635,True,40,FD001_78_0
68.7909,True,32,FD001_79_0
70.6283,True,29,FD001_80_0
62.8388,True,42,FD001_81_0
66.1279,True,36,FD001_82_0
55.7629,True,56,FD001_83_0
59.0897,True,49,FD001_84_0
70.9333,True,29,FD001_85_0
57.6166,True,52,FD001_86_0
72.1419,True,27,FD001_87_0
66.1279,True,36,FD001_88_0
65.4941,True,37,FD001_89_0
77.0984,True,21,FD001_90_0
81.7806,True,16,FD001_91_0
51.2124,True,68,FD001_92_0
77.0984,True,21,FD001_93_0
60.1145,True,47,FD001_94_0
57.1417,True,53,FD001_95_0
51.9693,True,66,FD001_96_0
68.1053,True,33,FD001_97_0
77.0984,True,21,FD001_98_0
70.6283,True,29,FD001_99_0
68.7909,True,32,FD001_100_0
