evaluation,failure_prevented,n_maintenance_activities,id
79.1498,True,19,FD002_1_0
58.5904,True,50,FD002_2_0
67.4331,True,34,FD002_3_0
63.4135,True,41,FD002_4_0
77.0984,True,21,FD002_5_0
73.2133,True,26,FD002_6_0
72.9232,True,26,FD002_7_0
77.9914,True,20,FD002_8_0
68.7909,True,32,FD002_9_0
71.6773,True,28,FD002_10_0
58.5904,True,50,FD002_11_0
60.8297,True,45,FD002_12_0
64.2622,True,39,FD002_13_0
69.177,True,31,FD002_14_0
66.7742,True,35,FD002_15_0
77.0984,True,21,FD002_16_0
72.4372,True,27,FD002_17_0
66.7742,True,35,FD002_18_0
75.3722,True,23,FD002_19_0
77.0984,True,21,FD002_20_0
69.8952,True,30,FD002_21_0
70.2045,True,30,FD002_22_0
66.7742,True,35,FD002_23_0
70.2045,True,30,FD002_24_0
67.4331,True,34,FD002_25_0
70.9333,True,29,FD002_26_0
73.2133,True,26,FD002_27_0
68.7909,True,32,FD002_28_0
77.9914,True,20,FD002_29_0
74.5378,True,24,FD002_30_0
51.2124,True,68,FD002_31_0
57.1417,True,53,FD002_32_0
69.4905,True,31,FD002_33_0
67.4331,True,34,FD002_34_0
69.4905,True,31,FD002_35_0
68.1053,True,33,FD002_36_0
66.7742,True,35,FD002_37_0
72.1419,True,27,FD002_38_0
66.1279,True,36,FD002_39_0
69.177,True,31,FD002_40_0
59.5977,True,48,FD002_41_0
64.8723,True,38,FD002_42_0
66.7742,True,35,FD002_43_0
67.4331,True,34,FD002_44_0
77.9914,True,20,FD002_45_0
67.7842,True,33,FD002_46_0
61.3761,True,44,FD002_47_0
62.8388,True,42,FD002_48_0
74.8166,True,24,FD002_49_0
64.8723,True,38,FD002_50_0
55.7629,True,56,FD002_51_0
72.9232,True,26,FD002_52_0
78.9054,True,19,FD002_53_0
68.7909,True,32,FD002_54_0
76.2255,True,22,FD002_55_0
75.3722,True,23,FD002_56_0
80.7992,True,17,FD002_57_0
75.3722,True,23,FD002_58_0
69.4905,True,31,FD002_59_0
72.1419,True,27,FD002_60_0
65.4941,True,37,FD002_61_0
71.6773,True,28,FD002_62_0
74.8166,True,24,FD002_63_0
57.1417,True,53,FD002_64_0
67.4331,True,34,FD002_65_0
73.7217,True,25,FD002_66_0
78.9054,True,19,FD002_67_0
71.6773,True,28,FD002_68_0
81.7806,True,16,FD002_69_0
77.0984,True,21,FD002_70_0
69.4905,True,31,FD002_71_0
69.4905,True,31,FD002_72_0
62.8388,True,42,FD002_73_0
76.2255,True,22,FD002_74_0
63.6635,True,40,FD002_75_0
62.2743,True,43,FD002_76_0
70.6283,True,29,FD002_77_0
76.4917,True,22,FD002_78_0
71.3771,True,28,FD002_79_0
64.8723,True,38,FD002_80_0
57.0259,True,54,FD002_81_0
68.7909,True,32,FD002_82_0
73.7217,True,25,FD002_83_0
60.1145,True,47,FD002_84_0
50.8422,True,69,FD002_85_0
70.2045,True,30,FD002_86_0
73.7217,True,25,FD002_87_0
49.0686,True,74,FD002_88_0
70.9333,True,29,FD002_89_0
70.9333,True,29,FD002_90_0
61.3761,True,44,FD002_91_0
70.9333,True,29,FD002_92_0
69.8952,True,30,FD002_93_0
54.4491,True,59,FD002_94_0
68.7909,True,32,FD002_95_0
67.4331,True,34,FD002_96_0
78.9054,True,19,FD002_97_0
74.5378,True,24,FD002_98_0
68.1053,True,33,FD002_99_0
66.7742,True,35,FD002_100_0
66.7742,True,35,FD002_101_0
75.6449,True,23,FD002_102_0
57.9659,True,52,FD002_103_0
64.5952,True,39,FD002_104_0
55.2344,True,58,FD002_105_0
58.5904,True,50,FD002_106_0
78.9054,True,19,FD002_107_0
77.0984,True,21,FD002_108_0
65.8217,True,37,FD002_109_0
64.8723,True,38,FD002_110_0
68.7909,True,32,FD002_111_0
48.4151,True,77,FD002_112_0
63.9989,True,40,FD002_113_0
68.1053,True,33,FD002_114_0
67.4331,True,34,FD002_115_0
67.4331,True,34,FD002_116_0
72.1419,True,27,FD002_117_0
51.5651,True,68,FD002_118_0
72.9232,True,26,FD002_119_0
82.5719,True,15,FD002_120_0
66.7742,True,35,FD002_121_0
70.6283,True,29,FD002_122_0
64.2622,True,39,FD002_123_0
59.0897,True,49,FD002_124_0
74.8166,True,24,FD002_125_0
68.7909,True,32,FD002_126_0
60.6403,True,46,FD002_127_0
55.2344,True,58,FD002_128_0
68.1053,True,33,FD002_129_0
71.3771,True,28,FD002_130_0
57.9659,True,52,FD002_131_0
71.6773,True,28,FD002_132_0
76.2255,True,22,FD002_133_0
61.7199,True,44,FD002_134_0
55.7629,True,56,FD002_135_0
76.4917,True,22,FD002_136_0
78.9054,True,19,FD002_137_0
68.7909,True,32,FD002_138_0
69.4905,True,31,FD002_139_0
66.1279,True,36,FD002_140_0
75.3722,True,23,FD002_141_0
67.4331,True,34,FD002_142_0
74.5378,True,24,FD002_143_0
65.2027,True,38,FD002_144_0
61.1753,True,45,FD002_145_0
59.5977,True,48,FD002_146_0
67.4331,True,34,FD002_147_0
57.6166,True,52,FD002_148_0
56.215,True,55,FD002_149_0
64.8723,True,38,FD002_150_0
72.1419,True,27,FD002_151_0
71.6773,True,28,FD002_152_0
56.5672,True,55,FD002_153_0
69.177,True,31,FD002_154_0
64.2622,True,39,FD002_155_0
55.6717,True,57,FD002_156_0
62.4989,True,42,FD002_157_0
54.804,True,59,FD002_158_0
61.9324,True,43,FD002_159_0
66.7742,True,35,FD002_160_0
65.2027,True,38,FD002_161_0
69.4905,True,31,FD002_162_0
