dataset_id,score,min_processing_time_ms,max_processing_time_ms,avg_processing_time_ms
harddrive,81.3105,0.001,764.415,17.129426
production_plant,64.8555,0.001,764.415,17.129426
water_pump,70.5113,0.001,764.415,17.129426
turbofan_engine,97.6755,0.001,764.415,17.129426
