evaluation,failure_prevented,n_maintenance_activities,id
57.1734,True,7,0_0_0
100.0,True,1,0_0_1
27.6112,True,22,0_0_2
100.0,True,1,0_0_3
23.5519,True,27,0_0_4
100.0,True,1,0_0_5
42.1357,True,12,0_0_6
