evaluation,failure_prevented,n_maintenance_activities,id
82.5336,True,18,FD001_1_0
66.4841,True,42,FD001_2_0
85.1585,True,15,FD001_3_0
82.3523,True,18,FD001_4_0
68.7315,True,38,FD001_5_0
48.7906,False,0,FD001_6_0
70.5194,True,35,FD001_7_0
42.8588,False,0,FD001_8_0
79.8651,True,21,FD001_9_0
76.2651,True,26,FD001_10_0
72.8088,True,31,FD001_11_0
45.9871,False,0,FD001_12_0
88.8056,True,11,FD001_13_0
84.0984,True,16,FD001_14_0
79.2756,True,22,FD001_15_0
78.5009,True,23,FD001_16_0
67.3175,True,40,FD001_17_0
81.6943,True,19,FD001_18_0
89.8109,True,10,FD001_19_0
74.1531,True,29,FD001_20_0
81.6943,True,19,FD001_21_0
80.0658,True,21,FD001_22_0
45.9871,False,0,FD001_23_0
92.9685,True,7,FD001_24_0
74.8439,True,28,FD001_25_0
50.3373,False,0,FD001_26_0
89.6943,True,10,FD001_27_0
87.8224,True,12,FD001_28_0
88.8056,True,11,FD001_29_0
81.6943,True,19,FD001_30_0
74.1531,True,29,FD001_31_0
82.5336,True,18,FD001_32_0
79.8651,True,21,FD001_33_0
81.6943,True,19,FD001_34_0
84.0984,True,16,FD001_35_0
89.8109,True,10,FD001_36_0
86.8608,True,13,FD001_37_0
81.6943,True,19,FD001_38_0
97.5103,True,3,FD001_39_0
82.3523,True,18,FD001_40_0
52.2598,False,0,FD001_41_0
80.6773,True,20,FD001_42_0
79.2756,True,22,FD001_43_0
81.5062,True,19,FD001_44_0
89.8109,True,10,FD001_45_0
70.2615,True,35,FD001_46_0
77.7412,True,24,FD001_47_0
74.8439,True,28,FD001_48_0
77.7412,True,24,FD001_49_0
80.8718,True,20,FD001_50_0
52.2598,False,0,FD001_51_0
77.7412,True,24,FD001_52_0
81.6943,True,19,FD001_53_0
70.2615,True,35,FD001_54_0
81.5062,True,19,FD001_55_0
68.1555,True,39,FD001_56_0
40.0826,False,0,FD001_57_0
92.9685,True,7,FD001_58_0
74.8439,True,28,FD001_59_0
85.9201,True,14,FD001_60_0
83.2162,True,17,FD001_61_0
84.0984,True,16,FD001_62_0
85.9201,True,14,FD001_63_0
67.0321,True,41,FD001_64_0
90.8393,True,9,FD001_65_0
50.8323,False,0,FD001_66_0
62.8856,True,49,FD001_67_0
80.8718,True,20,FD001_68_0
57.8444,True,61,FD001_69_0
95.1415,True,5,FD001_70_0
78.2888,True,23,FD001_71_0
77.7412,True,24,FD001_72_0
52.2598,False,0,FD001_73_0
87.8224,True,12,FD001_74_0
54.0389,False,0,FD001_75_0
51.7932,False,0,FD001_76_0
90.8393,True,9,FD001_77_0
74.8439,True,28,FD001_78_0
80.8718,True,20,FD001_79_0
83.2162,True,17,FD001_80_0
72.8088,True,31,FD001_81_0
77.7412,True,24,FD001_82_0
65.4146,True,44,FD001_83_0
69.3173,True,37,FD001_84_0
82.3523,True,18,FD001_85_0
88.3653,True,15,FD001_86_0
84.9995,True,15,FD001_87_0
77.7412,True,24,FD001_88_0
76.9961,True,25,FD001_89_0
90.8393,True,9,FD001_90_0
40.0826,False,0,FD001_91_0
64.0792,False,0,FD001_92_0
90.8393,True,9,FD001_93_0
70.5194,True,35,FD001_94_0
67.0321,True,41,FD001_95_0
60.0975,True,55,FD001_96_0
80.0658,True,21,FD001_97_0
89.6943,True,10,FD001_98_0
48.2534,False,0,FD001_99_0
50.3373,False,0,FD001_100_0
