evaluation,failure_prevented,n_maintenance_activities,id
70.5194,True,35,FD003_1_0
70.8815,True,34,FD003_2_0
76.2651,True,26,FD003_3_0
89.0138,True,14,FD003_4_0
77.7412,True,24,FD003_5_0
67.5891,True,40,FD003_6_0
52.3003,True,77,FD003_7_0
69.3173,True,37,FD003_8_0
53.9947,True,72,FD003_9_0
48.3738,True,91,FD003_10_0
80.6773,True,20,FD003_11_0
86.8608,True,13,FD003_12_0
83.2162,True,17,FD003_13_0
79.2756,True,22,FD003_14_0
80.0658,True,21,FD003_15_0
59.5171,True,57,FD003_16_0
62.8856,True,49,FD003_17_0
51.0071,True,82,FD003_18_0
74.8439,True,28,FD003_19_0
60.3902,True,55,FD003_20_0
76.2651,True,26,FD003_21_0
81.5062,True,19,FD003_22_0
80.6773,True,20,FD003_23_0
47.8495,True,94,FD003_24_0
81.5062,True,19,FD003_25_0
73.0531,True,31,FD003_26_0
61.928,True,51,FD003_27_0
79.8651,True,21,FD003_28_0
76.2651,True,26,FD003_29_0
76.9961,True,25,FD003_30_0
84.2652,True,16,FD003_31_0
82.3523,True,18,FD003_32_0
74.8439,True,28,FD003_33_0
50.098,True,85,FD003_34_0
74.8439,True,28,FD003_35_0
61.46,True,52,FD003_36_0
62.722,False,0,FD003_37_0
79.8651,True,21,FD003_38_0
65.945,True,43,FD003_39_0
82.3523,True,18,FD003_40_0
65.6906,True,44,FD003_41_0
81.5062,True,19,FD003_42_0
61.928,True,51,FD003_43_0
84.0984,True,16,FD003_44_0
50.3306,False,1,FD003_45_0
79.0691,True,22,FD003_46_0
67.8864,True,39,FD003_47_0
85.9201,True,14,FD003_48_0
56.853,False,0,FD003_49_0
44.7778,False,0,FD003_50_0
49.3168,False,0,FD003_51_0
76.2651,True,26,FD003_52_0
86.7154,True,13,FD003_53_0
81.6943,True,19,FD003_54_0
59.2122,True,77,FD003_55_0
81.6943,True,19,FD003_56_0
100.0,True,1,FD003_57_0
47.1445,False,0,FD003_58_0
65.1706,True,45,FD003_59_0
49.3168,False,0,FD003_60_0
80.8718,True,20,FD003_61_0
55.6903,False,0,FD003_62_0
74.8439,True,28,FD003_63_0
81.6943,True,19,FD003_64_0
74.1531,True,29,FD003_65_0
87.8224,True,12,FD003_66_0
69.9132,True,36,FD003_67_0
50.3373,False,0,FD003_68_0
86.8608,True,13,FD003_69_0
85.9201,True,14,FD003_70_0
53.6471,True,73,FD003_71_0
74.1531,True,29,FD003_72_0
77.7412,True,24,FD003_73_0
49.3168,False,0,FD003_74_0
57.2271,False,0,FD003_75_0
90.8393,True,9,FD003_76_0
70.2615,True,35,FD003_77_0
76.2651,True,26,FD003_78_0
87.8224,True,12,FD003_79_0
92.9685,True,7,FD003_80_0
64.3389,False,0,FD003_81_0
66.4841,True,42,FD003_82_0
84.0984,True,16,FD003_83_0
75.5478,True,27,FD003_84_0
69.3173,True,37,FD003_85_0
59.9505,True,56,FD003_86_0
46.5721,False,0,FD003_87_0
62.2157,True,51,FD003_88_0
79.2756,True,22,FD003_89_0
84.0984,True,16,FD003_90_0
89.6943,True,10,FD003_91_0
44.1526,False,0,FD003_92_0
84.671,True,15,FD003_93_0
54.7662,True,69,FD003_94_0
45.3891,False,0,FD003_95_0
48.1193,True,93,FD003_96_0
66.4795,True,41,FD003_97_0
64.1549,True,47,FD003_98_0
92.9685,True,7,FD003_99_0
42.8588,False,0,FD003_100_0
