evaluation,failure_prevented,n_maintenance_activities,id
97.3988,True,4,FD003_1_0
87.6467,True,15,FD003_2_0
47.4699,False,6,FD003_3_0
83.9432,True,20,FD003_4_0
87.4189,True,14,FD003_5_0
80.8859,True,24,FD003_6_0
66.7357,True,54,FD003_7_0
82.1018,True,22,FD003_8_0
77.9693,True,35,FD003_9_0
89.1011,True,20,FD003_10_0
87.7962,True,13,FD003_11_0
94.5253,True,6,FD003_12_0
89.5101,True,11,FD003_13_0
88.1575,True,13,FD003_14_0
87.0428,True,14,FD003_15_0
76.8669,True,33,FD003_16_0
84.5357,True,21,FD003_17_0
84.2739,True,27,FD003_18_0
86.9561,True,15,FD003_19_0
74.327,True,36,FD003_20_0
95.253,True,6,FD003_21_0
90.7531,True,10,FD003_22_0
87.7962,True,13,FD003_23_0
64.6722,True,64,FD003_24_0
90.7531,True,10,FD003_25_0
85.6283,True,17,FD003_26_0
80.964,True,26,FD003_27_0
88.9258,True,12,FD003_28_0
38.9253,False,15,FD003_29_0
85.6225,True,16,FD003_30_0
89.5101,True,11,FD003_31_0
94.8095,True,6,FD003_32_0
84.161,True,18,FD003_33_0
72.0787,True,48,FD003_34_0
40.9951,False,14,FD003_35_0
75.0623,True,34,FD003_36_0
77.3294,True,31,FD003_37_0
86.9123,True,14,FD003_38_0
78.1075,True,28,FD003_39_0
88.5809,True,12,FD003_40_0
77.659,True,29,FD003_41_0
88.6982,True,12,FD003_42_0
76.3953,True,32,FD003_43_0
90.459,True,10,FD003_44_0
85.1969,True,16,FD003_45_0
88.0395,True,13,FD003_46_0
79.7177,True,25,FD003_47_0
92.4185,True,8,FD003_48_0
81.6321,True,22,FD003_49_0
98.8806,True,2,FD003_50_0
88.6982,True,12,FD003_51_0
92.4048,True,9,FD003_52_0
97.7859,True,3,FD003_53_0
88.8132,True,12,FD003_54_0
60.2855,True,75,FD003_55_0
93.8981,True,7,FD003_56_0
85.4834,True,16,FD003_57_0
92.4997,True,8,FD003_58_0
90.5011,True,13,FD003_59_0
91.7805,True,9,FD003_60_0
87.9191,True,13,FD003_61_0
84.7301,True,18,FD003_62_0
86.9561,True,15,FD003_63_0
86.7792,True,14,FD003_64_0
87.9996,True,14,FD003_65_0
96.6788,True,4,FD003_66_0
83.6672,True,20,FD003_67_0
86.9123,True,14,FD003_68_0
97.8101,True,3,FD003_69_0
98.9169,True,2,FD003_70_0
70.3856,True,47,FD003_71_0
79.6917,True,23,FD003_72_0
45.4853,False,7,FD003_73_0
87.6708,True,13,FD003_74_0
81.7914,True,22,FD003_75_0
97.7098,True,3,FD003_76_0
85.1308,True,18,FD003_77_0
40.8241,False,13,FD003_78_0
94.4647,True,6,FD003_79_0
98.8281,True,2,FD003_80_0
79.0356,True,30,FD003_81_0
81.1984,True,24,FD003_82_0
90.459,True,10,FD003_83_0
82.1311,True,20,FD003_84_0
79.5449,True,25,FD003_85_0
72.3294,True,39,FD003_86_0
93.5016,True,7,FD003_87_0
74.3067,True,35,FD003_88_0
85.1969,True,16,FD003_89_0
89.3989,True,11,FD003_90_0
96.5648,True,4,FD003_91_0
95.4715,True,5,FD003_92_0
94.5253,True,6,FD003_93_0
69.4007,True,47,FD003_94_0
95.5718,True,5,FD003_95_0
68.9844,True,56,FD003_96_0
84.0778,True,20,FD003_97_0
75.8435,True,32,FD003_98_0
100.0,True,1,FD003_99_0
97.6833,True,3,FD003_100_0
