evaluation,failure_prevented,n_maintenance_activities,id
47.9754,True,61,FD003_1_0
48.822,True,59,FD003_2_0
51.5807,True,52,FD003_3_0
46.7591,True,64,FD003_4_0
53.5469,True,49,FD003_5_0
45.9819,True,66,FD003_6_0
36.6096,True,102,FD003_7_0
47.1576,True,63,FD003_8_0
37.1477,True,98,FD003_9_0
34.0332,True,116,FD003_10_0
55.2527,True,45,FD003_11_0
58.3926,True,39,FD003_12_0
56.9915,True,42,FD003_13_0
53.6169,True,48,FD003_14_0
54.1513,True,47,FD003_15_0
41.4444,True,82,FD003_16_0
43.5552,True,74,FD003_17_0
35.281,True,108,FD003_18_0
51.5513,True,53,FD003_19_0
41.3189,True,81,FD003_20_0
52.5301,True,51,FD003_21_0
55.8204,True,44,FD003_22_0
55.2527,True,45,FD003_23_0
33.2698,True,120,FD003_24_0
55.8204,True,44,FD003_25_0
49.6991,True,57,FD003_26_0
42.892,True,76,FD003_27_0
54.6965,True,46,FD003_28_0
51.5807,True,52,FD003_29_0
52.0751,True,51,FD003_30_0
56.9915,True,42,FD003_31_0
56.3999,True,43,FD003_32_0
50.6196,True,54,FD003_33_0
34.6522,True,111,FD003_34_0
50.6196,True,54,FD003_35_0
42.5678,True,77,FD003_36_0
42.5678,True,77,FD003_37_0
54.6965,True,46,FD003_38_0
45.6742,True,68,FD003_39_0
56.3999,True,43,FD003_40_0
44.9453,True,70,FD003_41_0
55.8204,True,44,FD003_42_0
42.892,True,76,FD003_43_0
57.5957,True,41,FD003_44_0
54.6038,True,47,FD003_45_0
54.1513,True,47,FD003_46_0
47.6042,True,63,FD003_47_0
57.7602,True,40,FD003_48_0
48.395,True,60,FD003_49_0
60.8194,True,36,FD003_50_0
55.8204,True,44,FD003_51_0
51.5807,True,52,FD003_52_0
60.1461,True,37,FD003_53_0
55.2527,True,45,FD003_54_0
32.378,True,127,FD003_55_0
55.2527,True,45,FD003_56_0
52.5791,True,50,FD003_57_0
57.1413,True,41,FD003_58_0
44.5896,True,71,FD003_59_0
55.8204,True,44,FD003_60_0
54.6965,True,46,FD003_61_0
48.8009,True,58,FD003_62_0
50.6196,True,54,FD003_63_0
55.2527,True,45,FD003_64_0
50.1523,True,55,FD003_65_0
60.1461,True,37,FD003_66_0
47.563,True,62,FD003_67_0
54.6965,True,46,FD003_68_0
58.3926,True,39,FD003_69_0
58.8433,True,39,FD003_70_0
37.5523,True,98,FD003_71_0
51.0754,True,54,FD003_72_0
52.5791,True,50,FD003_73_0
55.8204,True,44,FD003_74_0
47.9754,True,61,FD003_75_0
62.2123,True,34,FD003_76_0
48.395,True,60,FD003_77_0
52.5301,True,51,FD003_78_0
59.0391,True,38,FD003_79_0
62.4985,True,33,FD003_80_0
40.7215,True,83,FD003_81_0
46.0476,True,67,FD003_82_0
57.5957,True,41,FD003_83_0
51.0956,True,53,FD003_84_0
47.1576,True,63,FD003_85_0
41.7462,True,81,FD003_86_0
58.8433,True,39,FD003_87_0
42.5678,True,77,FD003_88_0
53.6169,True,48,FD003_89_0
57.5957,True,41,FD003_90_0
61.0672,True,35,FD003_91_0
60.3759,True,36,FD003_92_0
58.3926,True,39,FD003_93_0
38.1361,True,94,FD003_94_0
59.0391,True,38,FD003_95_0
33.4574,True,119,FD003_96_0
46.3672,True,65,FD003_97_0
43.8946,True,73,FD003_98_0
63.6705,True,32,FD003_99_0
61.7746,True,34,FD003_100_0
