detector_name,final_score,harddrive,water_pump,production_plant,turbofan_engine,max_processing_time_ms,avg_processing_time_ms
AlwaysTrueDetector,0.3177,0.05474487289294219,0.47056021297328465,0.604919747689694,0.140614824466019,3.801,0.001487
MultiModelHTMDetector,0.0805,0.05662317824527822,0.07489870333316795,0.10442727236373542,0.08605212308281629,88843.745,71.645787
MultiModelHTMDetectorStaticThreshold,0.3093,0.06896916808916882,0.373770534506919,0.6049204666674174,0.189795263585418,57241.54,56.33521
RunToFailureDetector,0.0,0.0,0.0,0.0,0.0,2.489,0.001492
UniModelHTMDetector,0.2626,0.007550453306044446,0.2932219770044149,0.63784686375674,0.11209922548153836,300201.645,74.090998
XGBClassifierDetector,0.3571,0.10743956027849443,0.34352294370841097,0.4508955174216666,0.526931968494068,618.155,16.291323
XGBRegressorDetector,0.3336,0.09198688713417666,0.2733546573447598,0.4287022821461735,0.540554259774339,3402.908,16.158717
