dataset_id,score,min_processing_time_ms,max_processing_time_ms,avg_processing_time_ms
harddrive,86.1589,0.001,905.744,17.389865
production_plant,72.7065,0.001,905.744,17.389865
water_pump,59.796,0.001,905.744,17.389865
turbofan_engine,97.7395,0.001,905.744,17.389865
