dataset_id,score,min_processing_time_ms,max_processing_time_ms,avg_processing_time_ms
harddrive,0.0,0.001,2.489,0.001492
water_pump,0.0,0.001,2.489,0.001492
production_plant,0.0,0.001,2.489,0.001492
turbofan_engine,0.0,0.001,2.489,0.001492
